epoch,accuracy,loss,val_accuracy,val_loss
0,0.7409999966621399,0.7436954379081726,0.7237499952316284,0.645966649055481
1,0.8320000171661377,0.40486258268356323,0.8149999976158142,0.5199035406112671
2,0.8450000286102295,0.36503151059150696,0.8962500095367432,0.2643231153488159
3,0.8989999890327454,0.2827197015285492,0.9075000286102295,0.2698279023170471
4,0.9200000166893005,0.206092968583107,0.8387500047683716,0.5600101351737976
5,0.921999990940094,0.23852035403251648,0.8274999856948853,0.5733575224876404
6,0.9390000104904175,0.16618958115577698,0.9087499976158142,0.35361137986183167
7,0.9490000009536743,0.1540989875793457,0.9049999713897705,0.3315407931804657
8,0.9570000171661377,0.13596650958061218,0.9024999737739563,0.4081602394580841
9,0.9549999833106995,0.13225971162319183,0.8525000214576721,0.7247189879417419
